"genre-name","genre-url"
"Pop/Rock","/genre/pop-rock-ma0000002613"
"Folk","/genre/folk-ma0000002592"
"Stage & Screen","/genre/stage-screen-ma0000004432"
"Electronic","/genre/electronic-ma0000002572"
"R&B","/genre/r-b-ma0000002809"
"Latin","/genre/latin-ma0000002692"
"International","/genre/international-ma0000002660"
"Classical","/genre/classical-ma0000002521"
"New Age","/genre/new-age-ma0000002745"
"Jazz","/genre/jazz-ma0000002674"
"Country","/genre/country-ma0000002532"
"Religious","/genre/religious-ma0000004431"
"Blues","/genre/blues-ma0000002467"
"Rap","/genre/rap-ma0000002816"
