id,title,artist,year,type,role,mainRelease,status,format,label,resourceUrl,thumbnailUrl,inWantlist,inCollection
10340315,Interpol,Interpol,1998,release,Main,,Accepted,"Cass, Promo",Not On Label (Interpol Self-Released),https://api.discogs.com/releases/10340315,https://i.discogs.com/QZsx6Y-KYbdYKNpTols-3QTkU5rvIeIb-upWKrnnjVw/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMzQw/MzE1LTE1MDM3NjAx/MzYtMjAxOS5qcGVn.jpeg,132,7
38328093,1997-98 Cassette Tape Demo,Interpol,1998,release,Main,,Accepted,"Cass, EP, Promo, Smplr, Dem",Not On Label,https://api.discogs.com/releases/38328093,https://i.discogs.com/5qDmGkqqw8Sng5b8_erugcuHdN3zQSV2hh7Zf5U83GY/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM4MzI4/MDkzLTE3ODg0NTcw/NTAtOTUzNi5qcGVn.jpeg,5,0
537108,Precipitate,Interpol,1999,master,Main,36464692,,,,https://api.discogs.com/masters/537108,https://i.discogs.com/Qk-Un4i0PDV7mnMsvow5JnjUTRFWX7TfrtYX8BNvhcc/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM2NDY0/NjkyLTE3NzA3NDU5/MjktMjgyNS5qcGVn.jpeg,17,2
43229,Fukd I.D. #3,Interpol,2000,master,Main,791011,,,,https://api.discogs.com/masters/43229,https://i.discogs.com/hpLYUdESY_Kj1Z1HDO8YA581hE2cSfpSPfltblAh4uc/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTc5MTAx/MS0xNTg5OTkwMDMw/LTE5NzMuanBlZw.jpeg,512,270
15031501,4 Track Demo,Interpol,2001,release,Main,,Accepted,"CDr, CD-ROM",Not On Label (Interpol Self-released),https://api.discogs.com/releases/15031501,https://i.discogs.com/aGOhHg_0dzdEfYbaW3_c5R5uMS35pRb1LQgy9Jvb-Qc/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE1MDMx/NTAxLTE1ODU4NjM0/NzMtOTY0NC5qcGVn.jpeg,45,2
4428203,Roland / PDA,Interpol,2002,release,Main,,Accepted,"CDr, Single, Promo","Labels, Virgin",https://api.discogs.com/releases/4428203,https://i.discogs.com/QHQ0RwRElJfxRsR9D-XAF0H0e-V0o5V1VhkV2IHpWg8/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQ0Mjgy/MDMtMTUxODU1MDc0/NC0yNDM4LmpwZWc.jpeg,32,11
14612779,NYC - Edit,Interpol,2002,release,Main,,Accepted,"CD, Single, Promo",Matador,https://api.discogs.com/releases/14612779,https://i.discogs.com/1G4Z7OZygBlAMWOKodfoI_mx5yHuNz8MZECh42gaOeI/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE0NjEy/Nzc5LTE2NTYwOTk0/MTItNDc3Ni5qcGVn.jpeg,22,11
17774674,Extraits Du Nouvel Album,"Nada Surf, Interpol",2002,release,Main,,Accepted,"CD, Advance, Mixed",Labels,https://api.discogs.com/releases/17774674,https://i.discogs.com/3QsHrPPDulrjW6jVwdp-lzn4xq1kcQnRrcNgQff6twc/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE3Nzc0/Njc0LTE2MTUzNzIw/MTgtNjIxNC5qcGVn.jpeg,15,6
30761343,NYC,Interpol,2002,release,Main,,Accepted,"VHS, Promo",Matador,https://api.discogs.com/releases/30761343,https://i.discogs.com/a-zTGIwYnHtcOrKqP85pjgikfs8QZvw-6n_kxqjVLcI/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTMwNzYx/MzQzLTE3MTY0ODUw/NjgtNDgzNS5qcGVn.jpeg,3,0
90631,Interpol EP,Interpol,2002,master,Main,1158949,,,,https://api.discogs.com/masters/90631,https://i.discogs.com/-7ZrGOtkQ19KHcOBhH7wtKiUYGW4Msioi6rolXGTLxw/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTExNTg5/NDktMTQ2MjE1MTAw/NS01NTM3LmpwZWc.jpeg,138,301
90634,Obstacle 1,Interpol,2002,master,Main,1039560,,,,https://api.discogs.com/masters/90634,https://i.discogs.com/cqPZe2z0Xi2G9gCua7x83xrais4p4bFKi909GoWmQes/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMzk1/NjAtMTI2OTI3NTQw/My5qcGVn.jpeg,528,610
9235,Turn On The Bright Lights,Interpol,2002,master,Main,604691,,,,https://api.discogs.com/masters/9235,https://i.discogs.com/5uIWJYmprL3mzPLgsv1qhREQldzVvH1q7O4JMbmg8e4/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTYwNDY5/MS0xNDg0NTcwODYy/LTgyNDQuanBlZw.jpeg,3732,5740
1252029,PDA,Interpol,2002,master,Main,1625046,,,,https://api.discogs.com/masters/1252029,https://i.discogs.com/Mie6uZEFO333HKQsIY1QaI0VPuP_5dn7YzDGpbPW-bo/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE2MjUw/NDYtMTI2NTE3NjA1/Ni5qcGVn.jpeg,554,233
36445653,Absolutely Live In The Zone,Interpol / Bush,2003,release,Main,,Accepted,"2xCDr, Transcription",Westwood One,https://api.discogs.com/releases/36445653,https://i.discogs.com/wWOH_sjP1GHCWJquF-zVHynnzimRg-o3ee77JpRzLHE/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM2NDQ1/NjUzLTE3NzA1NzY5/OTgtNzAzNC5qcGVn.jpeg,3,0
90636,Say Hello To The Angels | NYC,Interpol,2003,master,Main,388533,,,,https://api.discogs.com/masters/90636,https://i.discogs.com/CaT_tueR_qRWCKZOrmC5lNjzuFlkRE8luB-5geeyDhQ/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM4ODUz/My0xMjY5Mjc1NTU2/LmpwZWc.jpeg,360,798
90648,The Black EP,Interpol,2003,master,Main,399114,,,,https://api.discogs.com/masters/90648,https://i.discogs.com/MDp2U3P_wu8AdXwUBeBrE7DYpyAHG2aaMl6MC2Vm0Zs/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM5OTEx/NC0xNDY0MzIwMDE0/LTk4OTMuanBlZw.jpeg,103,844
671024,Radio EP,Interpol,2004,release,Main,,Accepted,"CD, EP, Promo",Matador,https://api.discogs.com/releases/671024,https://i.discogs.com/ot1AkvOICmeF0_xaNuoqad9A0wXzevdQuX3Bhw_dS2I/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTY3MTAy/NC0xMTQ1ODI1MzQ1/LmpwZWc.jpeg,34,18
2920086,Untitled (Interpool Swimwear Remix),Interpol,2004,release,Main,,Accepted,"File, MP3",Matador,https://api.discogs.com/releases/2920086,,6,5
8395017,Interlude,Interpol,2004,release,Main,,Accepted,"File, AAC, Single, 256",Matador,https://api.discogs.com/releases/8395017,https://i.discogs.com/c7HpD4LrtWDPrsdiZ0sqPu4AKT-AsQANxVtsFfOOGCE/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTgzOTUw/MTctMTQ2MDc5NDQw/Ny02MzExLmpwZWc.jpeg,3,7
90640,Slow Hands,Interpol,2004,master,Main,399110,,,,https://api.discogs.com/masters/90640,https://i.discogs.com/nagTB2eH_TLaFTFRckgZWOJt8uLmpz9kJb9w9F78L70/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM5OTEx/MC0xMTU3MjY1NDM5/LmpwZWc.jpeg,40,269
90642,Evil,Interpol,2004,master,Main,1030285,,,,https://api.discogs.com/masters/90642,https://i.discogs.com/y4NDOcjBu7T01se13SbwHyGVg2g8FZ_OYso0q82xmvc/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMzAy/ODUtMTY2NDcwNTUz/MS0yMDM2LmpwZWc.jpeg,25,204
9238,Antics,Interpol,2004,master,Main,604692,,,,https://api.discogs.com/masters/9238,https://i.discogs.com/kbr202Ha4bxZv7zgDDUoB_627vrBHiJOBGofjYw0Qqg/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTYwNDY5/Mi0xNjg5NzI4Mjc3/LTY1MTEuanBlZw.jpeg,1584,3402
1709651,NARC,Interpol,2004,master,Main,8935561,,,,https://api.discogs.com/masters/1709651,https://i.discogs.com/WBWJqXe3cwW6ZEkB9Prn67QSAyJ9dbo1yk7pPoEV2i4/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTg5MzU1/NjEtMTQ3MTc5NzI1/NS03MjE3LmpwZWc.jpeg,21,28
980174,Live Session EP (iTunes Exclusive),Interpol,2005,release,Main,,Accepted,"4xFile, AAC, EP, Copy Prot., 128",Matador,https://api.discogs.com/releases/980174,https://i.discogs.com/efb8n0wTSToTiJIIqvfEApJ9dqeGL1u1_kXwAPOwMK8/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTk4MDE3/NC0xMTgwMjgzMzI5/LmpwZWc.jpeg,13,23
15036951,Antics (Bonus Disc),Interpol,2005,release,Main,,Accepted,"CD, EP, Enh",Matador,https://api.discogs.com/releases/15036951,https://i.discogs.com/9RnjO40KU_YvcBO-ZD9JszfKOlca6pAbV7AbQHg1-6Y/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE1MDM2/OTUxLTE1ODU4Mzgy/MjgtMjY4Ny5qcGVn.jpeg,28,11
37441782,Absolutely Live In The Zone,Interpol / Incubus (2),2005,release,Main,,Accepted,"CDr, Transcription",Westwood One,https://api.discogs.com/releases/37441782,https://i.discogs.com/rMYoubjHjYFXWnpmbr8Bdolw3zp__nSekWin6I5ntY0/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM3NDQx/NzgyLTE3Nzk3MzY5/NzgtMTcxMy5qcGVn.jpeg,0,0
90641,C'Mere,Interpol,2005,master,Main,1796531,,,,https://api.discogs.com/masters/90641,https://i.discogs.com/Dyoz-eravM-DGEy45Z23_aR49EN6bROgW83nF4_pmjQ/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE3OTY1/MzEtMTI4NzMyMDM4/NC5qcGVn.jpeg,21,229
90646,Remix,Interpol,2005,master,Main,584083,,,,https://api.discogs.com/masters/90646,https://i.discogs.com/yeccqYDVbMwKGoADmZObr0NYY2w1eT2GIwi5h7eu9aE/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU4NDA4/My0xNzAwNjg1MjEz/LTcyODYuanBlZw.jpeg,26,407
1699042,Turn On The Bright Lights / Antics,Interpol,2005,master,Main,8039310,,,,https://api.discogs.com/masters/1699042,https://i.discogs.com/trEq59_j9NwQtmNJRLwGw-dy-WAGWesWO7cnSCKB3SU/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTgwMzkz/MTAtMTQ1Mzk3NjE0/OC0zOTg5LmpwZWc.jpeg,24,21
1214130,Live,Interpol,2007,release,Main,,Accepted,"CD, EP",Capitol Records,https://api.discogs.com/releases/1214130,https://i.discogs.com/-FibnoXCzkenjHy7CW1BezgxfieTIf_Hub06l-A6kDw/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEyMTQx/MzAtMTY2NDY2MDU5/My02MTk0LmpwZWc.jpeg,107,326
