"name","url","scanned","genre-name","genre-url","subgenre-name","subgenre-url"
"Dance-Rock","https://www.allmusic.com/style/dance-rock-ma0000012069","true","Pop/Rock","/genre/pop-rock-ma0000002613",,
"Dream Pop","https://www.allmusic.com/style/dream-pop-ma0000012303","true","Pop/Rock","/genre/pop-rock-ma0000002613","Alternative/Indie Rock","/subgenre/alternative-indie-rock-ma0000012230"
"Saxophone Jazz","https://www.allmusic.com/style/saxophone-jazz-ma0000002479","true","Jazz","/genre/jazz-ma0000002674","Jazz Instrument","/subgenre/jazz-instrument-ma0000002947"
"Alternative Country-Rock","https://www.allmusic.com/style/alternative-country-rock-ma0000012294","true","Pop/Rock","/genre/pop-rock-ma0000002613","Alternative/Indie Rock","/subgenre/alternative-indie-rock-ma0000012230"
"Alternative Pop/Rock","https://www.allmusic.com/style/alternative-pop-rock-ma0000002422","true","Pop/Rock","/genre/pop-rock-ma0000002613","Alternative/Indie Rock","/subgenre/alternative-indie-rock-ma0000012230"
"Alternative/Indie Rock","https://www.allmusic.com/style/alternative-indie-rock-ma0000012230","true","Pop/Rock","/genre/pop-rock-ma0000002613",,
"Post-Grunge","https://www.allmusic.com/style/post-grunge-ma0000005020","true","Pop/Rock","/genre/pop-rock-ma0000002613","Alternative/Indie Rock","/subgenre/alternative-indie-rock-ma0000012230"
"Alternative Folk","https://www.allmusic.com/style/alternative-folk-ma0000012099","true","Folk","/genre/folk-ma0000002592",,
"Punk/New Wave","https://www.allmusic.com/style/punk-new-wave-ma0000011872","true","Pop/Rock","/genre/pop-rock-ma0000002613",,
"Synth Pop","https://www.allmusic.com/style/synth-pop-ma0000002887","true","Pop/Rock","/genre/pop-rock-ma0000002613","Punk/New Wave","/subgenre/punk-new-wave-ma0000011872"
"Contemporary Pop/Rock","https://www.allmusic.com/style/contemporary-pop-rock-ma0000004443","true","Pop/Rock","/genre/pop-rock-ma0000002613",,
"New Wave","https://www.allmusic.com/style/new-wave-ma0000002750","true","Pop/Rock","/genre/pop-rock-ma0000002613","Punk/New Wave","/subgenre/punk-new-wave-ma0000011872"
"Euro-Pop","https://www.allmusic.com/style/euro-pop-ma0000004446","true","Pop/Rock","/genre/pop-rock-ma0000002613",,
"Adult Alternative Pop/Rock","https://www.allmusic.com/style/adult-alternative-pop-rock-ma0000004488","true","Pop/Rock","/genre/pop-rock-ma0000002613","Alternative/Indie Rock","/subgenre/alternative-indie-rock-ma0000012230"
"Euro-Rock","https://www.allmusic.com/style/euro-rock-ma0000012305","true","Pop/Rock","/genre/pop-rock-ma0000002613",,
"Soundtracks","https://www.allmusic.com/style/soundtracks-ma0000002867","true","Stage & Screen","/genre/stage-screen-ma0000004432",,
"Club/Dance","https://www.allmusic.com/style/club-dance-ma0000002544","true","Pop/Rock","/genre/pop-rock-ma0000002613",,
"Euro-Dance","https://www.allmusic.com/style/euro-dance-ma0000005013","true","Pop/Rock","/genre/pop-rock-ma0000002613",,
"Alternative Metal","https://www.allmusic.com/style/alternative-metal-ma0000012328","true","Pop/Rock","/genre/pop-rock-ma0000002613","Heavy Metal","/subgenre/heavy-metal-ma0000002721"
"Heavy Metal","https://www.allmusic.com/style/heavy-metal-ma0000002721","true","Pop/Rock","/genre/pop-rock-ma0000002613",,
"Indie Rock","https://www.allmusic.com/style/indie-rock-ma0000004453","true","Pop/Rock","/genre/pop-rock-ma0000002613","Alternative/Indie Rock","/subgenre/alternative-indie-rock-ma0000012230"
"Noise Pop","https://www.allmusic.com/style/noise-pop-ma0000012156","true","Pop/Rock","/genre/pop-rock-ma0000002613","Alternative/Indie Rock","/subgenre/alternative-indie-rock-ma0000012230"
"Shoegaze","https://www.allmusic.com/style/shoegaze-ma0000004454","true","Pop/Rock","/genre/pop-rock-ma0000002613","Alternative/Indie Rock","/subgenre/alternative-indie-rock-ma0000012230"
"New Wave/Post-Punk Revival","https://www.allmusic.com/style/new-wave-post-punk-revival-ma0000012020","true","Pop/Rock","/genre/pop-rock-ma0000002613","Alternative/Indie Rock","/subgenre/alternative-indie-rock-ma0000012230"
"Album Rock","https://www.allmusic.com/style/album-rock-ma0000004459","true","Pop/Rock","/genre/pop-rock-ma0000002613",,
"Aussie Rock","https://www.allmusic.com/style/aussie-rock-ma0000012330","true","Pop/Rock","/genre/pop-rock-ma0000002613",,
"Hard Rock","https://www.allmusic.com/style/hard-rock-ma0000002636","true","Pop/Rock","/genre/pop-rock-ma0000002613",,
"Arena Rock","https://www.allmusic.com/style/arena-rock-ma0000012329","true","Pop/Rock","/genre/pop-rock-ma0000002613",,
"Post-Rock","https://www.allmusic.com/style/post-rock-ma0000002790","true","Pop/Rock","/genre/pop-rock-ma0000002613","Alternative/Indie Rock","/subgenre/alternative-indie-rock-ma0000012230"
"Electronica","https://www.allmusic.com/style/electronica-ma0000002574","true","Electronic","/genre/electronic-ma0000002572",,
"Detroit Techno","https://www.allmusic.com/style/detroit-techno-ma0000002551","true","Electronic","/genre/electronic-ma0000002572","Techno","/subgenre/techno-ma0000002893"
"Electro-Techno","https://www.allmusic.com/style/electro-techno-ma0000012208","true","Electronic","/genre/electronic-ma0000002572","Techno","/subgenre/techno-ma0000002893"
"Neo-Electro","https://www.allmusic.com/style/neo-electro-ma0000011910","true","Electronic","/genre/electronic-ma0000002572","Techno","/subgenre/techno-ma0000002893"
"Techno","https://www.allmusic.com/style/techno-ma0000002893","true","Electronic","/genre/electronic-ma0000002572",,
"Pop-Metal","https://www.allmusic.com/style/pop-metal-ma0000002785","true","Pop/Rock","/genre/pop-rock-ma0000002613","Heavy Metal","/subgenre/heavy-metal-ma0000002721"
"Funk","https://www.allmusic.com/style/funk-ma0000002606","true","R&B","/genre/r-b-ma0000002809","Soul","/subgenre/soul-ma0000002865"
